wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run b7r18o10
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_092628-b7r18o10
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.7_pruning_ratio_0.5_delta_t_86
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/b7r18o10
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.7
num_mask_updates: 1000
t_end_ratio: 0.8
pruning_ratio: 0.5
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.7 | total_steps=108000 | t_end=86400 | delta_t=86

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:03<?, ?it/s, acc=0.231, lr=0.0001, test_acc=0.104]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:03<04:58,  3.01s/it, acc=0.231, lr=0.0001, test_acc=0.104]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:03<04:58,  3.01s/it, acc=0.231, lr=0.0001, test_acc=0.104]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:58,  3.01s/it, acc=0.363, lr=0.0002, test_acc=0.257]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:13,  2.59s/it, acc=0.363, lr=0.0002, test_acc=0.257]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:13,  2.59s/it, acc=0.363, lr=0.0002, test_acc=0.257]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:13,  2.59s/it, acc=0.47, lr=0.0003, test_acc=0.429] 
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:57,  2.45s/it, acc=0.47, lr=0.0003, test_acc=0.429]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:57,  2.45s/it, acc=0.47, lr=0.0003, test_acc=0.429]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:57,  2.45s/it, acc=0.57, lr=0.0004, test_acc=0.408]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:48,  2.38s/it, acc=0.57, lr=0.0004, test_acc=0.408]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:48,  2.38s/it, acc=0.57, lr=0.0004, test_acc=0.408]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:48,  2.38s/it, acc=0.582, lr=0.0005, test_acc=0.318]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:45,  2.38s/it, acc=0.582, lr=0.0005, test_acc=0.318]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:45,  2.38s/it, acc=0.582, lr=0.0005, test_acc=0.318]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:45,  2.38s/it, acc=0.632, lr=0.0006, test_acc=0.431]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:40,  2.34s/it, acc=0.632, lr=0.0006, test_acc=0.431]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:40,  2.34s/it, acc=0.632, lr=0.0006, test_acc=0.431]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:40,  2.34s/it, acc=0.732, lr=0.0007, test_acc=0.398]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:35,  2.32s/it, acc=0.732, lr=0.0007, test_acc=0.398]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:35,  2.32s/it, acc=0.732, lr=0.0007, test_acc=0.398]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:35,  2.32s/it, acc=0.8, lr=0.0008, test_acc=0.372]  
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:32,  2.31s/it, acc=0.8, lr=0.0008, test_acc=0.372]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:32,  2.31s/it, acc=0.8, lr=0.0008, test_acc=0.372]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:32,  2.31s/it, acc=0.798, lr=0.0009, test_acc=0.328]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:30,  2.32s/it, acc=0.798, lr=0.0009, test_acc=0.328]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:30,  2.32s/it, acc=0.798, lr=0.0009, test_acc=0.328]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:23<03:30,  2.32s/it, acc=0.736, lr=0.001, test_acc=0.358] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:23<03:27,  2.31s/it, acc=0.736, lr=0.001, test_acc=0.358]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:23<03:27,  2.31s/it, acc=0.736, lr=0.001, test_acc=0.358]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:27,  2.31s/it, acc=0.828, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:24,  2.30s/it, acc=0.828, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:24,  2.30s/it, acc=0.828, lr=0.001, test_acc=0.436]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:28<03:24,  2.30s/it, acc=0.883, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:28<03:21,  2.29s/it, acc=0.883, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:28<03:21,  2.29s/it, acc=0.883, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:30<03:21,  2.29s/it, acc=0.916, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:30<03:20,  2.31s/it, acc=0.916, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:30<03:20,  2.31s/it, acc=0.916, lr=0.001, test_acc=0.445]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:32<03:20,  2.31s/it, acc=0.845, lr=0.001, test_acc=0.401]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:32<03:17,  2.30s/it, acc=0.845, lr=0.001, test_acc=0.401]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:32<03:17,  2.30s/it, acc=0.845, lr=0.001, test_acc=0.401]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:35<03:17,  2.30s/it, acc=0.905, lr=0.001, test_acc=0.44] 
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:35<03:14,  2.29s/it, acc=0.905, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:35<03:14,  2.29s/it, acc=0.905, lr=0.001, test_acc=0.44]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:37<03:14,  2.29s/it, acc=0.927, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:37<03:12,  2.29s/it, acc=0.927, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:37<03:12,  2.29s/it, acc=0.927, lr=0.001, test_acc=0.434]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:39<03:12,  2.29s/it, acc=0.946, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:39<03:09,  2.29s/it, acc=0.946, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:39<03:09,  2.29s/it, acc=0.946, lr=0.001, test_acc=0.516]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:42<03:09,  2.29s/it, acc=0.913, lr=0.001, test_acc=0.256]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:42<03:09,  2.31s/it, acc=0.913, lr=0.001, test_acc=0.256]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:42<03:09,  2.31s/it, acc=0.913, lr=0.001, test_acc=0.256]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:44<03:09,  2.31s/it, acc=0.919, lr=0.001, test_acc=0.408]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:44<03:06,  2.30s/it, acc=0.919, lr=0.001, test_acc=0.408]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:44<03:06,  2.30s/it, acc=0.919, lr=0.001, test_acc=0.408]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:46<03:06,  2.30s/it, acc=0.946, lr=0.001, test_acc=0.48] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:46<03:03,  2.30s/it, acc=0.946, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:46<03:03,  2.30s/it, acc=0.946, lr=0.001, test_acc=0.48]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:03,  2.30s/it, acc=0.958, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:48<03:00,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:48<03:00,  2.29s/it, acc=0.958, lr=0.001, test_acc=0.523]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:51<03:00,  2.29s/it, acc=0.948, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:51<02:59,  2.30s/it, acc=0.948, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:51<02:59,  2.30s/it, acc=0.948, lr=0.001, test_acc=0.443]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<02:59,  2.30s/it, acc=0.93, lr=0.001, test_acc=0.529] 
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:53<02:56,  2.29s/it, acc=0.93, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<02:56,  2.29s/it, acc=0.93, lr=0.001, test_acc=0.529]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<02:56,  2.29s/it, acc=0.96, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:55<02:53,  2.28s/it, acc=0.96, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:55<02:53,  2.28s/it, acc=0.96, lr=0.001, test_acc=0.503]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:58<02:53,  2.28s/it, acc=0.956, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:58<02:50,  2.28s/it, acc=0.956, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:50,  2.28s/it, acc=0.956, lr=0.001, test_acc=0.463]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:50,  2.28s/it, acc=0.971, lr=0.001, test_acc=0.406]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:00<02:49,  2.29s/it, acc=0.971, lr=0.001, test_acc=0.406]
