wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run sehdmxdy
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260623_055114-sehdmxdy
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.5_pruning_ratio_0.7_delta_t_8
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/sehdmxdy
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: rigl
sparsity: 0.5
num_mask_updates: 10000
t_end_ratio: 0.8
pruning_ratio: 0.7
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] rigl | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=8

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.237, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:32,  2.75s/it, acc=0.237, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:32,  2.75s/it, acc=0.237, lr=0.0001, test_acc=0.105]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:32,  2.75s/it, acc=0.375, lr=0.0002, test_acc=0.245]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:10,  2.55s/it, acc=0.375, lr=0.0002, test_acc=0.245]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:10,  2.55s/it, acc=0.375, lr=0.0002, test_acc=0.245]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:10,  2.55s/it, acc=0.46, lr=0.0003, test_acc=0.426] 
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:59,  2.47s/it, acc=0.46, lr=0.0003, test_acc=0.426]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:59,  2.47s/it, acc=0.46, lr=0.0003, test_acc=0.426]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:59,  2.47s/it, acc=0.546, lr=0.0004, test_acc=0.394]
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:54,  2.45s/it, acc=0.546, lr=0.0004, test_acc=0.394]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:54,  2.45s/it, acc=0.546, lr=0.0004, test_acc=0.394]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:12<03:54,  2.45s/it, acc=0.609, lr=0.0005, test_acc=0.293]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:12<03:50,  2.43s/it, acc=0.609, lr=0.0005, test_acc=0.293]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:12<03:50,  2.43s/it, acc=0.609, lr=0.0005, test_acc=0.293]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:14<03:50,  2.43s/it, acc=0.666, lr=0.0006, test_acc=0.339]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:14<03:47,  2.42s/it, acc=0.666, lr=0.0006, test_acc=0.339]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:14<03:47,  2.42s/it, acc=0.666, lr=0.0006, test_acc=0.339]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:17<03:47,  2.42s/it, acc=0.729, lr=0.0007, test_acc=0.32] 
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:17<03:43,  2.41s/it, acc=0.729, lr=0.0007, test_acc=0.32]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:17<03:43,  2.41s/it, acc=0.729, lr=0.0007, test_acc=0.32]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:19<03:43,  2.41s/it, acc=0.731, lr=0.0008, test_acc=0.384]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:19<03:41,  2.41s/it, acc=0.731, lr=0.0008, test_acc=0.384]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:19<03:41,  2.41s/it, acc=0.731, lr=0.0008, test_acc=0.384]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:21<03:41,  2.41s/it, acc=0.775, lr=0.0009, test_acc=0.328]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:21<03:38,  2.40s/it, acc=0.775, lr=0.0009, test_acc=0.328]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:21<03:38,  2.40s/it, acc=0.775, lr=0.0009, test_acc=0.328]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:24<03:38,  2.40s/it, acc=0.782, lr=0.001, test_acc=0.399] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:24<03:36,  2.40s/it, acc=0.782, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:24<03:36,  2.40s/it, acc=0.782, lr=0.001, test_acc=0.399]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:26<03:36,  2.40s/it, acc=0.825, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:26<03:32,  2.39s/it, acc=0.825, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:26<03:32,  2.39s/it, acc=0.825, lr=0.001, test_acc=0.444]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:29<03:32,  2.39s/it, acc=0.858, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:29<03:31,  2.40s/it, acc=0.858, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:31,  2.40s/it, acc=0.858, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:31<03:31,  2.40s/it, acc=0.889, lr=0.001, test_acc=0.344]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:31<03:28,  2.39s/it, acc=0.889, lr=0.001, test_acc=0.344]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:28,  2.39s/it, acc=0.889, lr=0.001, test_acc=0.344]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:33<03:28,  2.39s/it, acc=0.896, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:33<03:26,  2.40s/it, acc=0.896, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:33<03:26,  2.40s/it, acc=0.896, lr=0.001, test_acc=0.457]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:36<03:26,  2.40s/it, acc=0.912, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:36<03:23,  2.39s/it, acc=0.912, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:23,  2.39s/it, acc=0.912, lr=0.001, test_acc=0.437]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:38<03:23,  2.39s/it, acc=0.925, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:38<03:21,  2.40s/it, acc=0.925, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:21,  2.40s/it, acc=0.925, lr=0.001, test_acc=0.508]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:41<03:21,  2.40s/it, acc=0.927, lr=0.001, test_acc=0.383]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:41<03:18,  2.39s/it, acc=0.927, lr=0.001, test_acc=0.383]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:41<03:18,  2.39s/it, acc=0.927, lr=0.001, test_acc=0.383]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:43<03:18,  2.39s/it, acc=0.946, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:43<03:16,  2.40s/it, acc=0.946, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:16,  2.40s/it, acc=0.946, lr=0.001, test_acc=0.496]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:45<03:16,  2.40s/it, acc=0.942, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:45<03:13,  2.39s/it, acc=0.942, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:13,  2.39s/it, acc=0.942, lr=0.001, test_acc=0.435]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:48<03:13,  2.39s/it, acc=0.945, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:48<03:11,  2.40s/it, acc=0.945, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:48<03:11,  2.40s/it, acc=0.945, lr=0.001, test_acc=0.393]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:50<03:11,  2.40s/it, acc=0.955, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:50<03:08,  2.39s/it, acc=0.955, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:50<03:08,  2.39s/it, acc=0.955, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:53<03:08,  2.39s/it, acc=0.95, lr=0.001, test_acc=0.488] 
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:53<03:06,  2.39s/it, acc=0.95, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:53<03:06,  2.39s/it, acc=0.95, lr=0.001, test_acc=0.488]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:55<03:06,  2.39s/it, acc=0.963, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:55<03:03,  2.39s/it, acc=0.963, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:55<03:03,  2.39s/it, acc=0.963, lr=0.001, test_acc=0.397]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:57<03:03,  2.39s/it, acc=0.962, lr=0.001, test_acc=0.518]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:57<03:02,  2.40s/it, acc=0.962, lr=0.001, test_acc=0.518]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:57<03:02,  2.40s/it, acc=0.962, lr=0.001, test_acc=0.518]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [01:00<03:02,  2.40s/it, acc=0.963, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [01:00<02:59,  2.39s/it, acc=0.963, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:00<02:59,  2.39s/it, acc=0.963, lr=0.001, test_acc=0.469]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [01:02<02:59,  2.39s/it, acc=0.964, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [01:02<02:57,  2.39s/it, acc=0.964, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:02<02:57,  2.39s/it, acc=0.964, lr=0.001, test_acc=0.481]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [01:04<02:57,  2.39s/it, acc=0.967, lr=0.001, test_acc=0.45] 
Iter 0 | Epoch 26:  27%|██▋       | 27/100 [01:04<02:54,  2.39s/it, acc=0.967, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:04<02:54,  2.39s/it, acc=0.967, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 27:  27%|██▋       | 27/100 [01:07<02:54,  2.39s/it, acc=0.974, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 27:  28%|██▊       | 28/100 [01:07<02:52,  2.39s/it, acc=0.974, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:07<02:52,  2.39s/it, acc=0.974, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 28:  28%|██▊       | 28/100 [01:09<02:52,  2.39s/it, acc=0.97, lr=0.001, test_acc=0.487] 
