wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run 32mtje6g
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260630_125718-32mtje6g
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_gmp_accel_sparsity_0.0_final_sparsity_0.5_delta_t_648
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/onhmhsi1
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/32mtje6g
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 8
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: gmp
sparsity: 0.5
num_mask_updates: 100
t_end_ratio: 0.8
pruning_ratio: 0.3
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] gmp | sparsity=0.5 | total_steps=108000 | t_end=86400 | delta_t=648

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.251, lr=0.0001, test_acc=0.111]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:36,  2.79s/it, acc=0.251, lr=0.0001, test_acc=0.111]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:36,  2.79s/it, acc=0.251, lr=0.0001, test_acc=0.111]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:36,  2.79s/it, acc=0.429, lr=0.0002, test_acc=0.364]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:01,  2.47s/it, acc=0.429, lr=0.0002, test_acc=0.364]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:01,  2.47s/it, acc=0.429, lr=0.0002, test_acc=0.364]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:01,  2.47s/it, acc=0.539, lr=0.0003, test_acc=0.319]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:49,  2.36s/it, acc=0.539, lr=0.0003, test_acc=0.319]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:49,  2.36s/it, acc=0.539, lr=0.0003, test_acc=0.319]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:49,  2.36s/it, acc=0.67, lr=0.0004, test_acc=0.381] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:42,  2.31s/it, acc=0.67, lr=0.0004, test_acc=0.381]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:42,  2.31s/it, acc=0.67, lr=0.0004, test_acc=0.381]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:42,  2.31s/it, acc=0.768, lr=0.0005, test_acc=0.311]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.768, lr=0.0005, test_acc=0.311]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:37,  2.29s/it, acc=0.768, lr=0.0005, test_acc=0.311]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<03:37,  2.29s/it, acc=0.805, lr=0.0006, test_acc=0.341]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:13<03:33,  2.27s/it, acc=0.805, lr=0.0006, test_acc=0.341]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:13<03:33,  2.27s/it, acc=0.805, lr=0.0006, test_acc=0.341]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:33,  2.27s/it, acc=0.801, lr=0.0007, test_acc=0.407]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:30,  2.26s/it, acc=0.801, lr=0.0007, test_acc=0.407]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:30,  2.26s/it, acc=0.801, lr=0.0007, test_acc=0.407]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:30,  2.26s/it, acc=0.805, lr=0.0008, test_acc=0.4]  
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:27,  2.26s/it, acc=0.805, lr=0.0008, test_acc=0.4]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:27,  2.26s/it, acc=0.805, lr=0.0008, test_acc=0.4]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:27,  2.26s/it, acc=0.809, lr=0.0009, test_acc=0.333]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:24,  2.25s/it, acc=0.809, lr=0.0009, test_acc=0.333]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:24,  2.25s/it, acc=0.809, lr=0.0009, test_acc=0.333]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:24,  2.25s/it, acc=0.834, lr=0.001, test_acc=0.368] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:22<03:22,  2.25s/it, acc=0.834, lr=0.001, test_acc=0.368]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:22<03:22,  2.25s/it, acc=0.834, lr=0.001, test_acc=0.368]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:22,  2.25s/it, acc=0.852, lr=0.001, test_acc=0.3]  
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:19,  2.25s/it, acc=0.852, lr=0.001, test_acc=0.3]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:19,  2.25s/it, acc=0.852, lr=0.001, test_acc=0.3]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:19,  2.25s/it, acc=0.888, lr=0.001, test_acc=0.336]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:17,  2.24s/it, acc=0.888, lr=0.001, test_acc=0.336]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:17,  2.24s/it, acc=0.888, lr=0.001, test_acc=0.336]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:17,  2.24s/it, acc=0.894, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:15,  2.24s/it, acc=0.894, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:15,  2.24s/it, acc=0.894, lr=0.001, test_acc=0.431]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:15,  2.24s/it, acc=0.911, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:31<03:12,  2.24s/it, acc=0.911, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:31<03:12,  2.24s/it, acc=0.911, lr=0.001, test_acc=0.417]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:34<03:12,  2.24s/it, acc=0.928, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:34<03:10,  2.24s/it, acc=0.928, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:34<03:10,  2.24s/it, acc=0.928, lr=0.001, test_acc=0.467]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:10,  2.24s/it, acc=0.936, lr=0.001, test_acc=0.391]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:08,  2.24s/it, acc=0.936, lr=0.001, test_acc=0.391]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:08,  2.24s/it, acc=0.936, lr=0.001, test_acc=0.391]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:08,  2.24s/it, acc=0.937, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:05,  2.24s/it, acc=0.937, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:05,  2.24s/it, acc=0.937, lr=0.001, test_acc=0.439]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:05,  2.24s/it, acc=0.943, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:40<03:03,  2.24s/it, acc=0.943, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:40<03:03,  2.24s/it, acc=0.943, lr=0.001, test_acc=0.433]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:43<03:03,  2.24s/it, acc=0.948, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:43<03:01,  2.24s/it, acc=0.948, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:43<03:01,  2.24s/it, acc=0.948, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:01,  2.24s/it, acc=0.954, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<02:59,  2.24s/it, acc=0.954, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<02:59,  2.24s/it, acc=0.954, lr=0.001, test_acc=0.473]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<02:59,  2.24s/it, acc=0.952, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:56,  2.24s/it, acc=0.952, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:56,  2.24s/it, acc=0.952, lr=0.001, test_acc=0.451]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:49<02:56,  2.24s/it, acc=0.96, lr=0.001, test_acc=0.461] 
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:49<02:54,  2.24s/it, acc=0.96, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:49<02:54,  2.24s/it, acc=0.96, lr=0.001, test_acc=0.461]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:52<02:54,  2.24s/it, acc=0.961, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:52<02:52,  2.24s/it, acc=0.961, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:52<02:52,  2.24s/it, acc=0.961, lr=0.001, test_acc=0.419]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:54<02:52,  2.24s/it, acc=0.956, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:54<02:50,  2.24s/it, acc=0.956, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:54<02:50,  2.24s/it, acc=0.956, lr=0.001, test_acc=0.478]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:50,  2.24s/it, acc=0.967, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:47,  2.24s/it, acc=0.967, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:47,  2.24s/it, acc=0.967, lr=0.001, test_acc=0.482]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:47,  2.24s/it, acc=0.972, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:58<02:45,  2.24s/it, acc=0.972, lr=0.001, test_acc=0.462]
Iter 0 | Epoch 26:  26%|██▌       | 26/100 [00:58<02:45,  2.24s/it, acc=0.972, lr=0.001, test_acc=0.462]
