wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: fredella-pang (fredella-pang-university-of-calgary-in-alberta) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Ignoring project 'continual_CIFAR10_RESNET18' when running a sweep.
wandb: setting up run pbgze7h6
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /scratch/freddyp/wandb_agents/wandb/run-20260619_004548-pbgze7h6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run RESNET18_CIFAR10_dst_sparsity_0.7_pruning_ratio_0.9_delta_t_8640
wandb: ⭐️ View project at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning
wandb: 🧹 View sweep at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/sweeps/7yfjydkv
wandb: 🚀 View run at https://wandb.ai/fredella-pang-university-of-calgary-in-alberta/DST%20Continual%20Learning/runs/pbgze7h6
------------------------------
optimizer: adam
lr: 0.001
clip_grad_norm: 0.5
task: CIFAR10
model: RESNET18
benchmark: continual
warm_start_subset_ratio: 10
log_every: 1
seed: 0
batch_size: 256
disable_wandb: False
wandb_project: 
sparsifier: set
sparsity: 0.7
num_mask_updates: 10
t_end_ratio: 0.8
pruning_ratio: 0.9
t_accel_ratio: 0.2
initial_sparsity: 0.0
------------------------------
Using device: cuda
[Sparsifier] set | sparsity=0.7 | total_steps=108000 | t_end=86400 | delta_t=8640

  0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:00<?, ?it/s]
Iter 0 | Epoch 0:   0%|          | 0/100 [00:02<?, ?it/s, acc=0.223, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 0:   1%|          | 1/100 [00:02<04:38,  2.81s/it, acc=0.223, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:02<04:38,  2.81s/it, acc=0.223, lr=0.0001, test_acc=0.1]
Iter 0 | Epoch 1:   1%|          | 1/100 [00:05<04:38,  2.81s/it, acc=0.337, lr=0.0002, test_acc=0.224]
Iter 0 | Epoch 1:   2%|▏         | 2/100 [00:05<04:01,  2.47s/it, acc=0.337, lr=0.0002, test_acc=0.224]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:05<04:01,  2.47s/it, acc=0.337, lr=0.0002, test_acc=0.224]
Iter 0 | Epoch 2:   2%|▏         | 2/100 [00:07<04:01,  2.47s/it, acc=0.433, lr=0.0003, test_acc=0.396]
Iter 0 | Epoch 2:   3%|▎         | 3/100 [00:07<03:48,  2.35s/it, acc=0.433, lr=0.0003, test_acc=0.396]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:07<03:48,  2.35s/it, acc=0.433, lr=0.0003, test_acc=0.396]
Iter 0 | Epoch 3:   3%|▎         | 3/100 [00:09<03:48,  2.35s/it, acc=0.57, lr=0.0004, test_acc=0.398] 
Iter 0 | Epoch 3:   4%|▍         | 4/100 [00:09<03:40,  2.30s/it, acc=0.57, lr=0.0004, test_acc=0.398]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:09<03:40,  2.30s/it, acc=0.57, lr=0.0004, test_acc=0.398]
Iter 0 | Epoch 4:   4%|▍         | 4/100 [00:11<03:40,  2.30s/it, acc=0.72, lr=0.0005, test_acc=0.384]
Iter 0 | Epoch 4:   5%|▌         | 5/100 [00:11<03:35,  2.27s/it, acc=0.72, lr=0.0005, test_acc=0.384]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:11<03:35,  2.27s/it, acc=0.72, lr=0.0005, test_acc=0.384]
Iter 0 | Epoch 5:   5%|▌         | 5/100 [00:13<03:35,  2.27s/it, acc=0.85, lr=0.0006, test_acc=0.434]
Iter 0 | Epoch 5:   6%|▌         | 6/100 [00:13<03:32,  2.26s/it, acc=0.85, lr=0.0006, test_acc=0.434]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:13<03:32,  2.26s/it, acc=0.85, lr=0.0006, test_acc=0.434]
Iter 0 | Epoch 6:   6%|▌         | 6/100 [00:16<03:32,  2.26s/it, acc=0.908, lr=0.0007, test_acc=0.26]
Iter 0 | Epoch 6:   7%|▋         | 7/100 [00:16<03:29,  2.25s/it, acc=0.908, lr=0.0007, test_acc=0.26]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:16<03:29,  2.25s/it, acc=0.908, lr=0.0007, test_acc=0.26]
Iter 0 | Epoch 7:   7%|▋         | 7/100 [00:18<03:29,  2.25s/it, acc=0.898, lr=0.0008, test_acc=0.352]
Iter 0 | Epoch 7:   8%|▊         | 8/100 [00:18<03:26,  2.24s/it, acc=0.898, lr=0.0008, test_acc=0.352]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:18<03:26,  2.24s/it, acc=0.898, lr=0.0008, test_acc=0.352]
Iter 0 | Epoch 8:   8%|▊         | 8/100 [00:20<03:26,  2.24s/it, acc=0.905, lr=0.0009, test_acc=0.377]
Iter 0 | Epoch 8:   9%|▉         | 9/100 [00:20<03:23,  2.24s/it, acc=0.905, lr=0.0009, test_acc=0.377]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:20<03:23,  2.24s/it, acc=0.905, lr=0.0009, test_acc=0.377]
Iter 0 | Epoch 9:   9%|▉         | 9/100 [00:22<03:23,  2.24s/it, acc=0.885, lr=0.001, test_acc=0.367] 
Iter 0 | Epoch 9:  10%|█         | 10/100 [00:22<03:21,  2.23s/it, acc=0.885, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:22<03:21,  2.23s/it, acc=0.885, lr=0.001, test_acc=0.367]
Iter 0 | Epoch 10:  10%|█         | 10/100 [00:25<03:21,  2.23s/it, acc=0.89, lr=0.001, test_acc=0.384] 
Iter 0 | Epoch 10:  11%|█         | 11/100 [00:25<03:18,  2.23s/it, acc=0.89, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:25<03:18,  2.23s/it, acc=0.89, lr=0.001, test_acc=0.384]
Iter 0 | Epoch 11:  11%|█         | 11/100 [00:27<03:18,  2.23s/it, acc=0.911, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 11:  12%|█▏        | 12/100 [00:27<03:16,  2.23s/it, acc=0.911, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:27<03:16,  2.23s/it, acc=0.911, lr=0.001, test_acc=0.41]
Iter 0 | Epoch 12:  12%|█▏        | 12/100 [00:29<03:16,  2.23s/it, acc=0.928, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 12:  13%|█▎        | 13/100 [00:29<03:13,  2.23s/it, acc=0.928, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:29<03:13,  2.23s/it, acc=0.928, lr=0.001, test_acc=0.39]
Iter 0 | Epoch 13:  13%|█▎        | 13/100 [00:31<03:13,  2.23s/it, acc=0.921, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 13:  14%|█▍        | 14/100 [00:31<03:11,  2.23s/it, acc=0.921, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:31<03:11,  2.23s/it, acc=0.921, lr=0.001, test_acc=0.381]
Iter 0 | Epoch 14:  14%|█▍        | 14/100 [00:33<03:11,  2.23s/it, acc=0.938, lr=0.001, test_acc=0.45] 
Iter 0 | Epoch 14:  15%|█▌        | 15/100 [00:33<03:09,  2.23s/it, acc=0.938, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:33<03:09,  2.23s/it, acc=0.938, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 15:  15%|█▌        | 15/100 [00:36<03:09,  2.23s/it, acc=0.952, lr=0.001, test_acc=0.358]
Iter 0 | Epoch 15:  16%|█▌        | 16/100 [00:36<03:07,  2.23s/it, acc=0.952, lr=0.001, test_acc=0.358]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:36<03:07,  2.23s/it, acc=0.952, lr=0.001, test_acc=0.358]
Iter 0 | Epoch 16:  16%|█▌        | 16/100 [00:38<03:07,  2.23s/it, acc=0.944, lr=0.001, test_acc=0.38] 
Iter 0 | Epoch 16:  17%|█▋        | 17/100 [00:38<03:04,  2.23s/it, acc=0.944, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:38<03:04,  2.23s/it, acc=0.944, lr=0.001, test_acc=0.38]
Iter 0 | Epoch 17:  17%|█▋        | 17/100 [00:40<03:04,  2.23s/it, acc=0.956, lr=0.001, test_acc=0.442]
Iter 0 | Epoch 17:  18%|█▊        | 18/100 [00:40<03:02,  2.23s/it, acc=0.956, lr=0.001, test_acc=0.442]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:40<03:02,  2.23s/it, acc=0.956, lr=0.001, test_acc=0.442]
Iter 0 | Epoch 18:  18%|█▊        | 18/100 [00:42<03:02,  2.23s/it, acc=0.951, lr=0.001, test_acc=0.409]
Iter 0 | Epoch 18:  19%|█▉        | 19/100 [00:42<03:00,  2.23s/it, acc=0.951, lr=0.001, test_acc=0.409]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:42<03:00,  2.23s/it, acc=0.951, lr=0.001, test_acc=0.409]
Iter 0 | Epoch 19:  19%|█▉        | 19/100 [00:45<03:00,  2.23s/it, acc=0.95, lr=0.001, test_acc=0.452] 
Iter 0 | Epoch 19:  20%|██        | 20/100 [00:45<02:57,  2.22s/it, acc=0.95, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:45<02:57,  2.22s/it, acc=0.95, lr=0.001, test_acc=0.452]
Iter 0 | Epoch 20:  20%|██        | 20/100 [00:47<02:57,  2.22s/it, acc=0.96, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 20:  21%|██        | 21/100 [00:47<02:55,  2.22s/it, acc=0.96, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:47<02:55,  2.22s/it, acc=0.96, lr=0.001, test_acc=0.446]
Iter 0 | Epoch 21:  21%|██        | 21/100 [00:49<02:55,  2.22s/it, acc=0.954, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 21:  22%|██▏       | 22/100 [00:49<02:53,  2.23s/it, acc=0.954, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:49<02:53,  2.23s/it, acc=0.954, lr=0.001, test_acc=0.45]
Iter 0 | Epoch 22:  22%|██▏       | 22/100 [00:51<02:53,  2.23s/it, acc=0.963, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 22:  23%|██▎       | 23/100 [00:51<02:51,  2.23s/it, acc=0.963, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:51<02:51,  2.23s/it, acc=0.963, lr=0.001, test_acc=0.424]
Iter 0 | Epoch 23:  23%|██▎       | 23/100 [00:53<02:51,  2.23s/it, acc=0.967, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 23:  24%|██▍       | 24/100 [00:53<02:49,  2.23s/it, acc=0.967, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:53<02:49,  2.23s/it, acc=0.967, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 24:  24%|██▍       | 24/100 [00:56<02:49,  2.23s/it, acc=0.964, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 24:  25%|██▌       | 25/100 [00:56<02:46,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:56<02:46,  2.22s/it, acc=0.964, lr=0.001, test_acc=0.429]
Iter 0 | Epoch 25:  25%|██▌       | 25/100 [00:58<02:46,  2.22s/it, acc=0.966, lr=0.001, test_acc=0.438]
Iter 0 | Epoch 25:  26%|██▌       | 26/100 [00:58<02:44,  2.23s/it, acc=0.966, lr=0.001, test_acc=0.438]
